IssueID,Location,ObjectAffected,Problem,Evidence,Severity,Type,Confidence,RequiredRepair,DownstreamImpact,ChangesContribution,Status
ISS-001,main.tex:590-596,REM-001,"The finite-alphabet cross-entropy theorem is applied to continuous embedding distributions and to a different cross-entropy objective without a linking theorem","In CLIP the target is a one-hot batch label and q is a softmax over finite logits; every q_j>0. Two matched unit pairs with mismatched cosine 0 have finite loss log(1+exp(-1/tau)).",Critical,correctness,High,"Delete the singularity inference or prove an explicit mapping from embedding measures to the actual training objective; state the required measure-theoretic assumptions",Modality-gap explanation and closing synthesis collapse,Yes,Open
ISS-002,main.tex:611-634,REM-002;REM-003,"A zero coordinate contribution is promoted to a global overcoverage/hallucination bias despite simplex coupling","For softmax logits z, dH/dz_i=q_i-p_i; when p_i=0<q_i the gradient is positive and descent reduces that false coordinate. Cross-entropy is uniquely minimized at q=p, as the introduction itself states.",Major,correctness,High,"Restrict to the local summand identity; remove causal hallucination claims unless a constrained model theorem or experiment establishes them",Hallucination discussion and synthesis are unsupported,Yes,Open
ISS-003,main.tex:637-705,REM-004;REM-005;Figure 5,"Orthogonality is called a singularity and used to explain large batches, but finite cosine logits have no zero-probability boundary","At tau=.07 with positive similarity 1 and 32767 orthogonal negatives, each negative weight is 6.12e-7, not 1/N=3.05e-5; exact orthogonality has finite loss. If all logits are equal, weights are 1/N but total negative mass is O(1), so the stated necessity does not follow.",Critical,correctness,High,"Re-derive InfoNCE in logit space; separate temperature saturation, hard-negative sampling, and batch estimation from support singularities; replace Figure 5",Batch-size mechanism and final unifying claim collapse,Yes,Open
ISS-004,main.tex:403-453,PROP-002;Figure 3,"The formula -p_i/q_i is labeled the gradient under the simplex constraint and generalized to any optimization","A simplex has dependent coordinates; tangent gradients depend on parameterization. Under softmax logits the gradient is q-p and remains bounded.",Major,assumption,High,"State the ambient q-coordinate derivative only, or give a tangent/projected gradient; explicitly distinguish logits and probabilities",Optimization interpretation must be weakened,Yes,Open
ISS-005,main.tex:221-281,Figure 1 and taxonomy table,"The plotted curves cannot be instances of the stated uniform-smoothing theorem","At eps=1 every q^eps=u, hence every curve must equal log n, but the plotted curves end at different values. For S=0 the loss need not be constant: p=q=(.9,.1) changes from .32508 to log 2. Plot uses base-2 slope while theorem leaves log base implicit.",Major,correctness,High,"Generate the plot from explicit valid p,q pairs using one log base; make all curves meet at log n at eps=1; remove the constant S=0 claim",Visual evidence for THM-002 is misleading though theorem survives,No,Open
ISS-006,main.tex:227-234,Taxonomy example table,"The row 'complete disjoint' claims |V|=n for two distributions on an n-symbol alphabet","A probability q has nonempty support; if supports are disjoint, p is zero there, so |V|=|supp(p)|<=n-1.",Moderate,correctness,High,"Replace n by |supp(p)| (at most n-1) while retaining S=1",One illustrative row changes,No,Open
ISS-007,main.tex:81;397-400;459-538,THM-003 and geometry,"KL=+infinity is repeatedly called undefined and KL is called a distance metric; disjointness is called independence","The paper itself defines extended-real KL and states D_KL=+infinity. KL is asymmetric and not a metric. Disjoint supports mean mutual singularity, not stochastic independence.",Major,definition,High,"Use 'extended-real and infinite', 'divergence', and 'mutually singular'; reserve independence for joint laws",Title/abstract/geometry framing changes materially,Yes,Open
ISS-008,main.tex:516-538,Figure 4,"The probability-simplex points are drawn in the interior while the caption labels them disjoint-support distributions","Interior simplex points have all coordinates positive and therefore overlapping full support; their KL is finite.",Major,correctness,High,"Place p and q on disjoint boundary faces/vertices and label coordinates, or remove the simplex picture",Central geometric illustration currently contradicts its caption,No,Open
ISS-009,main.tex:124,DEF-001,"The sign in the boundary convention is wrong","For p>0, log 0=-infinity and p log 0=-infinity; it is -p log 0 that equals +infinity.",Minor,notation,High,"Change to '-p(x) log 0=+infinity' or 'p(x) log 0=-infinity'",All proofs are readable from context but the definition is formally inconsistent,No,Open
ISS-010,main.tex:159-165,THM-001,"The implication arrows are reversed relative to the assumptions used","The paragraph marked => starts from V nonempty and proves H infinite; the paragraph marked <= proves the contrapositive of H infinite implies V nonempty.",Minor,proof-gap,High,"Swap arrow labels or explicitly label the two directions",No downstream mathematical effect,No,Open
ISS-011,main.tex:193-200,DEF-004,"The rate tier is not defined because neither a normalization nor a smoothing class is specified","For q_i^eps asymptotic to c_i eps^{a_i}, the coefficient of -log eps is sum over V of a_i p_i, not S unless all a_i=1.",Moderate,definition,High,"Define rate as a limit normalized by -log eps and make the smoothing path part of the invariant",The claimed three-tier taxonomy becomes path-relative,Yes,Open
ISS-012,main.tex:557-564,Alternatives table,"JSD is marked differentiable without an interior qualification","For a coordinate p>0, d/dq of the JSD coordinate equals .5 log(2q/(p+q)), which tends to -infinity as q to 0+.",Moderate,correctness,High,"Write 'Yes (interior); not differentiable on all boundary faces'",Survey table correction only,No,Open
ISS-013,main.tex:659-696,Figure 5,"The plotted exp(3 sim) is not the normalized InfoNCE weight stated in Eq. (6), equals 1 rather than 'exponentially small' at sim=0, and is visibly clipped by ymax=3","Rendered page 9 clips the red curve and the denominator/temperature/other logits are absent.",Moderate,correctness,High,"Plot the actual normalized derivative for specified N, tau, and positive/negative logits with an adequate y-axis",Visual support for ISS-003 is invalid,No,Open
ISS-014,main.tex:191;222;title/abstract,Novelty claim,"The paper proposes a taxonomy and calls S a precise severity measure without comparing it to prior information-theory treatments","No textbook or research citation is supplied for the elementary support condition or smoothing asymptotic; the seven references concern applications and alternatives.",Major,novelty,High,"Add a focused literature review and state the exact novelty; if no novelty beyond an elementary asymptotic is found, reframe as an expository note",Publication positioning may change,Yes,Open
ISS-015,main.tex:559-571,Alternatives survey,"Several boundary/differentiability/finiteness claims omit domain and regularity assumptions","MMD finiteness requires a finite kernel expectation; W1 metrizes weak convergence only with the relevant metric/moment conditions outside finite X.",Moderate,assumption,Medium,"Keep the table explicitly on finite X with a finite ground metric/kernel, or state general hypotheses per row",Survey scope narrows,No,Open
