Claim,Source,SupportingResult,SupportLevel,Overstatement,RequiredRevision
"The paper gives a geometry of cross-entropy divergence",title,"THM-001;THM-002;geometric discussion",special-case,"The rigorous results are finite-alphabet support facts; the geometric/ML transfer is not established","Retitle around support mismatch and smoothing, or add a valid geometric theorem"
"H is infinite precisely when V is nonempty",abstract,THM-001,fully-established,None,"Fix DEF-001's sign and THM-001 arrow labels"
"The singularity is classified by |V|, S, and asymptotic rate",abstract,"DEF-004;THM-002",stronger-assumptions,"Rate depends on the smoothing path and |V| depends on alphabet granularity","State a path-relative taxonomy and discuss representation dependence"
"Under uniform smoothing the displayed asymptotic holds",abstract,THM-002,fully-established,"Only fixed finite p,q and a fixed log base are covered","State those assumptions and repair Figure 1"
"The rate of divergence equals the violating mass",abstract,THM-002,stronger-assumptions,"True for the specified first-order uniform mixture path, not arbitrary smoothing","Say 'the coefficient under uniform mixture smoothing'"
"KL is undefined at disjoint support",abstract,THM-003,contradicted,"The theorem defines it as the extended-real value +infinity","Replace 'undefined' by 'infinite'"
"Disjoint support is the probabilistic analog of vector orthogonality",abstract,"THM-003;geometry",special-case,"Nonnegative probability vectors have zero dot product iff disjoint support, but the independence/distance rhetoric is false and Figure 4 is inconsistent","State the narrow algebraic analogy only"
"Per-coordinate cross-entropy contributions are infinitely asymmetric",abstract,PROP-001,fully-established,"The wording is acceptable only as a summand identity","Do not infer global precision or hallucination behavior"
"The condition for divergence is weaker than disjoint support",intro,THM-001,fully-established,None,"Retain; cite standard absolute-continuity terminology"
"Cross-entropy teaches models to prefer overcoverage",intro;discussion,PROP-001,unsupported,"Coordinatewise zero terms do not imply a feasible simplex direction or causal model behavior","Remove or supply a model-specific theorem/experiment"
"KL fails to extend continuously to disjoint support",intro,THM-003,special-case,"Along full-support approximations it diverges, but the extended-real function is lower-semicontinuous; 'fails to extend' needs topology/codomain precision","Define the topology and distinguish real-valued from extended-real continuity"
"The modality gap is consistent with maintaining a safe distance from the singularity",discussion,REM-001,contradicted,"The actual softmax cross-entropy is finite at orthogonal embeddings","Remove the singularity account; compare with temperature-dependent contrastive-loss analyses"
"Cross-entropy produces systematic overcoverage/hallucination bias",discussion,"REM-002;REM-003",unsupported,"Softmax gradient q-p penalizes false coordinates and the population optimum is q=p","Demote to an untested hypothesis with an explicit model, or remove"
"Singularity flatness contributes to large batch requirements",discussion,"REM-004;REM-005",contradicted,"The alleged singularity is absent and the displayed weight argument does not imply the conclusion","Replace with a correct batch-softmax gradient analysis or omit"
"Cross-entropy diverges at the configuration its consumers try to achieve",conclusion,"REM-001;REM-004",contradicted,"Orthogonal finite logits yield strictly positive softmax probabilities and finite loss","Delete the synthesis in its current form"
