ID,Assumption,Location,PreciselyStated,UsedBy,Necessary,Weakenable,StrongerFormUsedSilently,JointlyConsistent,ExamplesExist,Flags
ASM-001,"X is a finite nonempty alphabet",main.tex:72;119,Yes,"DEF-001--DEF-004;THM-001--THM-003;PROP-001--PROP-002",Necessary for the finite-sum proofs as written,"THM-001 extends to countable spaces with care",No,Yes,Yes,
ASM-002,"p and q are normalized nonnegative probability vectors",main.tex:72;119,Mostly,All core results,Necessary,No,"Normalization is used in disjoint-support cardinality and simplex claims",Yes,Yes,
ASM-003,"Extended-real convention for boundary log terms",main.tex:124,No,"THM-001;THM-003;PROP-001",Necessary at q=0,No,"Correct convention is -p log 0=+infinity (equivalently p log 0=-infinity)",Yes,Yes,meaning-drifts
ASM-004,"A fixed logarithm base",global,No,"THM-002;all plotted slopes",Necessary for numerical coefficients,"Any base works with corresponding scaling",Natural-log proof but base-2 plot used,Yes,Yes,missing
ASM-005,"Uniform mixture smoothing q^eps=(1-eps)q+eps u with fixed p,q",main.tex:205,Yes,THM-002,Necessary for coefficient S as stated,"More general paths q_i^eps~c_i eps can preserve S; coordinate exponents change it",The taxonomy informally treats rate as path-independent,Yes,Yes,stronger-than-advertised
ASM-006,"Positive q coordinates stay bounded away from zero for fixed p,q",main.tex:218,Implicit,THM-002,Necessary for a fixed O(eps) Taylor bound,"Can state constant explicitly",Yes,Yes,Yes,missing
ASM-007,"q_i are independent ambient coordinates",main.tex:405-415,No,PROP-002,Needed for partial derivative -p_i/q_i,"Use tangent derivatives or state ambient gradient",Paper instead says under simplex constraint,No,Yes,meaning-drifts
ASM-008,"Embedding distributions can be substituted for the target/prediction distributions in THM-001",main.tex:592-595,No,REM-001,Would be necessary for the inference,No,"Also needs a common dominating measure/densities and equivalence to the training objective",Unknown,Not exhibited,missing
ASM-009,"Orthogonal finite similarities correspond to zero softmax probabilities",main.tex:593-595;640-649,No,"REM-001;REM-004",Necessary for the claimed singularity,No,"Finite exponentials are strictly positive; zero probability requires a -infinity logit or a singular temperature limit",No,No,missing
ASM-010,"All logits are approximately equal when a negative similarity is near zero",main.tex:648,No,REM-004,Necessary for w_k approximately 1/N,No,"The positive logit and other negatives must also be controlled",Yes,Yes,missing
ASM-011,"MMD uses a finite/bounded or integrable kernel and W1 uses an appropriate finite metric/moment class",main.tex:562-571,No,alternatives table,Necessary outside the finite-alphabet setting,"Automatic for finite X with finite kernel/cost",The prose sounds domain-general,Yes,Yes,missing
