ID,OriginalNumber,Type,Location,Statement,Quantifiers,Domain,Assumptions,HiddenAssumptions,Dependencies,UsedBy,ProofLocation,Verdict,Confidence
DEF-001,Definition 1,definition,main.tex:117-125,"Cross-entropy H(p,q)=-sum p log q with boundary conventions","For all probability vectors p,q on X",Finite probability simplex,"Finite nonempty X","The displayed convention must apply to -p log 0; a logarithm base must be fixed",,THM-001;THM-002;PROP-001;THM-003,main text,"Verified under additional assumptions",High
DEF-002,Definition 2,definition,main.tex:127-135,"KL divergence D_KL(p||q)=sum p log(p/q)=H(p,q)-H(p)","For all probability vectors p,q on X",Finite probability simplex,"Finite nonempty X; extended-real convention","Terms with p=0 require the usual 0 log(0/q)=0 convention",DEF-001,THM-003;PROP-002,main text,"Verified under additional assumptions",High
DEF-003,Definition 3,definition,main.tex:137-146,"Support, violating set V=supp(p)\\supp(q), and violating mass S","For all probability vectors p,q on X",Finite probability simplex,"Finite X",None,DEF-001,THM-001;DEF-004;THM-002;THM-003,main text,Verified,High
THM-001,Theorem 4,theorem,main.tex:154-165,"H(p,q)=+infinity iff V is nonempty","For all probability vectors p,q on finite X",Finite probability simplex,"DEF-001 conventions; finite X","Nonempty X; extended-real sum",DEF-001;DEF-003,THM-002;THM-003;REM-001,main-text proof,Verified,High
DEF-004,Definition 5,definition,main.tex:193-201,"Three singularity tiers: |V|, S, and asymptotic rate under a smoothed approximation","For p,q with V nonempty",Finite probability simplex plus smoothing path,"A smoothing family q^(epsilon)","Rate normalization and smoothing path are unspecified; rate is not intrinsic",DEF-003,THM-002,main text,Incomplete,High
THM-002,Theorem 6,theorem,main.tex:203-219,"Under uniform mixture smoothing, H=S(-log eps)+S log n+C+O(eps)","For fixed probability vectors p,q; eps tends to 0+",Finite probability simplex,"Finite nonempty X; fixed p,q; q^eps=(1-eps)q+eps u","0<eps<1; fixed log base; constants in O(eps) depend on positive q coordinates",DEF-001;DEF-003;DEF-004,Abstract;Figure 1;taxonomy,main-text proof,"Verified under additional assumptions",High
PROP-001,Proposition 7,proposition,main.tex:294-306,"A missing positive-p coordinate contributes +infinity; a positive-q zero-p coordinate contributes zero","For each x and probability vectors p,q",Finite probability simplex,"DEF-001 conventions","Only a coordinatewise statement; q coordinates are globally coupled",DEF-001,REM-002;REM-003;Figure 2,main-text proof,Verified,High
THM-003,Theorem 8,theorem,main.tex:397-401,"D_KL=+infinity at disjoint support, and iff V is nonempty","For all probability vectors p,q on finite X",Finite probability simplex,"Finite X; extended-real KL","The title's word 'undefined' conflicts with the stated extended-real value",DEF-001;DEF-002;DEF-003;THM-001,geometric discussion,no separate proof; follows immediately from THM-001,"Verified under additional assumptions",High
PROP-002,Proposition 9,proposition,main.tex:403-416,"Claims the simplex-constrained q_i gradient is -p_i/q_i and diverges at q_i to 0+","For each i with p_i>0",Interior of probability simplex,"q_i>0","-p_i/q_i is an ambient partial derivative, not intrinsically the simplex-constrained gradient; parameterization matters",DEF-002,Figure 3;optimization claims,main-text proof,"Verified under additional assumptions",High
REM-001,Remark 1,remark,main.tex:590-596,"Claims CLIP embedding-support disjointness is the cross-entropy singularity and prevents orthogonal separation","For embedding distributions on the sphere",Continuous embedding distributions and batch softmax,"Unstated transfer of THM-001 to a continuous domain and to CLIP's label softmax","Embedding distributions are not the p,q of CLIP cross-entropy; finite logits yield positive softmax probabilities",THM-001;external CLIP/InfoNCE,closing synthesis,main text,"Contradicted by a counterexample",High
REM-002,Remark 2,remark,main.tex:611-621,"Coordinatewise asymmetry produces systematic overcoverage bias","For output distributions p,q",Probability simplex,"PROP-001","A global feasible perturbation under sum q=1; a model/output event space tying this to hallucination",PROP-001,REM-003;closing synthesis,main text,Unsupported,High
REM-003,Remark 3,remark,main.tex:623-629,"Simplex coupling qualifies the claim but still asserts a gradient bias toward overcoverage","For softmax-produced q",Softmax parameterization,"Coordinates sum to one","Actual softmax gradient is q-p and penalizes positive q on zero-p coordinates",PROP-001;REM-002,closing synthesis,main text,"Likely false",High
REM-004,Remark 4,remark,main.tex:642-651,"Claims orthogonal negatives have approximately uniform O(1/N) InfoNCE weights and therefore require large N","For negative pairs near sim=0",Batch softmax over similarities,"All relevant logits are comparable; temperature fixed","A single similarity near zero does not imply uniform weights; sum of O(1/N) terms is O(1); orthogonality is not a singularity",external InfoNCE,REM-005;Figure 5;closing synthesis,main text,"Contradicted by a counterexample",High
REM-005,Remark 5,remark,main.tex:653-657,"Lists other causes of batch-size requirements and calls singularity-flatness one mechanism",Informal,Contrastive learning,"IID-like variance claim and model-specific conditions","No citation or derivation for variance scaling or for the alleged singularity mechanism",REM-004,closing synthesis,main text,Unsupported,High
